execution_ms,period_ms,control loop iteration
0.052254,0.953058,463
0.049886,1.00714,464
0.103485,1.01686,465
0.096765,1.0119,466
0.051326,0.964226,467
0.05107,1.00672,468
0.118076,1.23807,469
0.105148,0.773768,470
0.100285,1.02198,471
0.049279,0.96093,472
0.045726,1.00141,473
0.124668,1.01846,474
0.11318,1.01411,475
0.053503,0.966177,476
0.04755,1.00032,477
0.047679,1.00451,478
0.112797,1.01114,479
0.116092,1.01178,480
0.054046,0.975265,481
0.048287,1.0095,482
0.111836,1.0049,483
0.106973,1.0217,484
0.052926,0.961218,485
0.048895,1.00797,486
0.112476,1.00874,487
0.110653,1.00381,488
0.050719,0.978113,489
0.04003,1.00176,490
0.136123,1.0167,491
0.111741,1.00752,492
0.109021,1.00419,493
0.051422,0.96973,494
0.049951,1.00013,495
0.108573,1.01651,496
0.092573,1.0199,497
0.049342,0.964674,498
0.047999,1.00438,499
0.110429,1.20985,500
0.108413,0.801031,501
0.103421,1.02618,502
0.053886,0.960578,503
0.046143,0.999008,504
0.104317,1.01517,505
0.103965,1.01373,506
0.051934,0.973986,507
0.050462,1.00346,508
0.121085,1.22825,509
0.10438,0.784264,510
0.109596,1.01763,511
0.051423,0.962593,512
0.049246,1.00362,513
0.108957,1.02829,514
0.1079,0.981314,515
0.04835,0.985473,516
0.045535,1.00464,517
0.113084,1.25378,518
0.109404,0.755752,519
0.110428,1.01626,520
0.047231,0.969953,521
0.044414,1.00122,522
0.105789,1.01184,523
0.100093,1.00557,524
0.053983,0.982625,525
0.04819,1.004,526
0.13062,1.01213,527
0.106141,1.00832,528
0.100701,1.01894,529
0.053342,0.95613,530
0.045567,1.00445,531
0.105756,1.01222,532
0.107197,1.00179,533
0.050879,0.980513,534
0.045118,1.00128,535
0.046047,1.00541,536
0.105565,1.00861,537
0.098877,1.01072,538
0.052638,0.972866,539
0.048639,1.00944,540
0.105757,1.01005,541
0.104317,1.01619,542
0.052094,0.96397,543
0.048735,1.00298,544
0.104285,1.24399,545
0.092285,0.772456,546
0.098045,1.00374,547
